presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Oriol Hinojo Comellas,Claudia Vitolo (European Space Agency),Michael Schick (EUMETSAT),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 1,male,female,male
Alessandro Amici,Claudia Vitolo (European Space Agency),Michael Schick (EUMETSAT),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 1,male,female,male
Cesare Rossi,Claudia Vitolo (European Space Agency),Michael Schick (EUMETSAT),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 1,male,female,male
Daniel Wiesmann,Claudia Vitolo (European Space Agency),Michael Schick (EUMETSAT),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 1,male,female,male
Michael Schick,Claudia Vitolo (European Space Agency),Michael Schick (EUMETSAT),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 1,male,female,male
Vincent Martin,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,male,male,female
GABRIELE MURCHIO,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,unknown,male,female
Alexander Jacob,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,male,male,female
Leticia Pérez Sienes,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,female,male,female
Jens Henrik Göbbert,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,male,male,female
Okke Van Eck,Michael Schick (EUMETSAT),Claudia Vitolo (European Space Agency),D.01.02 Technological Innovations for a Digital Twin of the Earth system - PART 2,mostly_male,male,female
Marco Bernasocchi,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,male,male,female
Deyan Samardzhiev,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,male,male,female
Anne Fouilloux,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,female,male,female
Lazaro Alonso,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,male,male,female
Sylvia Sylvander,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,female,male,female
Gilberto Camara,Salvatore Pinto (Esa),Anca Anghelea (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 1,male,male,female
Marian Neagul,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,male,mostly_male,male
Gerald Fenoy,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,male,mostly_male,male
Adam Stewart,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,male,mostly_male,male
Andreas Trawöger,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,male,mostly_male,male
Thomas Storm,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,male,mostly_male,male
Codrina Maria Ilie,Chandra Taposeea-Fisher (Telespazio UK),Salvatore Pinto (Esa),D.03.02 Free Open Source Software for the Geospatial Domain: current status & evolution - PART 2,female,mostly_male,male
Sanna Sandberg,Gabriele Meoni (European Space Agency),N/A,D.06.01 Orbital Intelligence for Earth Observation applications: The edge of AI In Space,female,female,unknown
Douglas McLelland,Gabriele Meoni (European Space Agency),N/A,D.06.01 Orbital Intelligence for Earth Observation applications: The edge of AI In Space,male,female,unknown
Giorgia Guerrisi,Gabriele Meoni (European Space Agency),N/A,D.06.01 Orbital Intelligence for Earth Observation applications: The edge of AI In Space,female,female,unknown
Anita Bayer,Dominik Rains (Airbus Defence & Space Ltd.),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action - PART 2,female,male,unknown
Daniela Rabe,Dominik Rains (Airbus Defence & Space Ltd.),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action - PART 2,female,male,unknown
Professor Kevin Tansey,Dominik Rains (Airbus Defence & Space Ltd.),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action - PART 2,unknown,male,unknown
Chetan Pradhan,Dominik Rains (Airbus Defence & Space Ltd.),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action - PART 2,unknown,male,unknown
Samuel Pike,Dominik Rains (Airbus Defence & Space Ltd.),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action - PART 2,male,male,unknown
Dominik Rains,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,male,male,unknown
Donato Amitrano,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,male,male,unknown
Elizabeth C. Atwood,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,female,male,unknown
Euan Mitchell,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,male,male,unknown
Alison Beamish,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,female,male,unknown
Erminia De Grandis,Euan Mitchell (Space Intelligence),N/A,E.01.02 Earth Observation in Practise: Linking Public and Commercial Data for Earth Action- PART 1,female,male,unknown
Shin-ichi Sobue,Julia Kubanek (European Space Agency (ESA)),Shin-ichi Sobue (Jaxa),F.02.02 C- and L-band SAR synergies - ESA-JAXA cooperation and beyond,andy,female,andy
Keisho Ito,Julia Kubanek (European Space Agency (ESA)),Shin-ichi Sobue (Jaxa),F.02.02 C- and L-band SAR synergies - ESA-JAXA cooperation and beyond,unknown,female,andy
Juval Cohen,Julia Kubanek (European Space Agency (ESA)),Shin-ichi Sobue (Jaxa),F.02.02 C- and L-band SAR synergies - ESA-JAXA cooperation and beyond,unknown,female,andy
Malin Johansson,Julia Kubanek (European Space Agency (ESA)),Shin-ichi Sobue (Jaxa),F.02.02 C- and L-band SAR synergies - ESA-JAXA cooperation and beyond,female,female,andy
Jorge Jorge Ruiz,Julia Kubanek (European Space Agency (ESA)),Shin-ichi Sobue (Jaxa),F.02.02 C- and L-band SAR synergies - ESA-JAXA cooperation and beyond,male,female,andy
Caterina Peris,Daniele Cerra (DLR),N/A,F.02.05 Capacity Building and Technology Transfer in Earth Observation,female,female,unknown
Pedro Goncalves,Daniele Cerra (DLR),N/A,F.02.05 Capacity Building and Technology Transfer in Earth Observation,male,female,unknown
Nicki McGoh,Daniele Cerra (DLR),N/A,F.02.05 Capacity Building and Technology Transfer in Earth Observation,female,female,unknown
Deodato Tapete,Daniele Cerra (DLR),N/A,F.02.05 Capacity Building and Technology Transfer in Earth Observation,male,female,unknown
Anne-Laure Beck,Daniele Cerra (DLR),N/A,F.02.05 Capacity Building and Technology Transfer in Earth Observation,female,female,unknown
